Threshold,Precision,Recall,F1 Score,Accuracy
0.05,0.8356164383561644,0.8970588235294118,0.8652482269503546,0.9904952476238119
0.1,0.8939393939393939,0.8676470588235294,0.8805970149253731,0.9919959979989995
0.15000000000000002,0.8939393939393939,0.8676470588235294,0.8805970149253731,0.9919959979989995
0.2,0.9076923076923077,0.8676470588235294,0.8872180451127819,0.992496248124062
0.25,0.921875,0.8676470588235294,0.8939393939393939,0.9929964982491246
0.3,0.921875,0.8676470588235294,0.8939393939393939,0.9929964982491246
0.35000000000000003,0.9365079365079365,0.8676470588235294,0.9007633587786259,0.9934967483741871
0.4,0.9516129032258065,0.8676470588235294,0.9076923076923077,0.9939969984992496
0.45,0.9516129032258065,0.8676470588235294,0.9076923076923077,0.9939969984992496
0.5,0.9516129032258065,0.8676470588235294,0.9076923076923077,0.9939969984992496
0.55,0.9508196721311475,0.8529411764705882,0.8992248062015504,0.9934967483741871
0.6000000000000001,0.9508196721311475,0.8529411764705882,0.8992248062015504,0.9934967483741871
0.6500000000000001,0.9666666666666667,0.8529411764705882,0.90625,0.9939969984992496
0.7000000000000001,0.9666666666666667,0.8529411764705882,0.90625,0.9939969984992496
0.7500000000000001,0.9830508474576272,0.8529411764705882,0.9133858267716536,0.9944972486243121
0.8,0.9830508474576272,0.8529411764705882,0.9133858267716536,0.9944972486243121
0.8500000000000001,0.9827586206896551,0.8382352941176471,0.9047619047619048,0.9939969984992496
0.9000000000000001,0.9824561403508771,0.8235294117647058,0.896,0.9934967483741871
0.9500000000000001,0.9824561403508771,0.8235294117647058,0.896,0.9934967483741871
